name,role,department
Amara Osei,UX Researcher,Product
Jake Torrence,ux designer,product
Priya Nair,UX Researcher,DESIGN
Marcus Webb,Product Manager,product
,,Engineering
Soo-Jin Park,Content Strategist,Marketing
Devon Marsh,UX DESIGNER,Product
Fatima Al-Rashid,ux researcher,Research
Carlos Reyes,Product Manager,Product
Ingrid Halvorsen,UX Researcher,Design
Tom Briggs,UX Designer,product
Anika Sharma,content strategist,Marketing
Lena Kowalski,UX Researcher,Research
James Okafor,Product Manager,Engineering
Maya Singh,UX Designer,Design
Ryu Tanaka,UX RESEARCHER,Research
Brianna Cole,ux designer,Product
Noel Adeyemi,Content Strategist,Marketing
Zara Ahmed,UX Researcher,Design
Patrick Flynn,product manager,Product
Hyun-Ji Cho,UX Designer,Design
Oluwaseun Bello,UX Researcher,Research
Sandra Voss,Content Strategist,Marketing
Marco Di Luca,UX Designer,Product
Tanya Brooks,UX Researcher,Research
Jerome Williams,product Manager,Engineering
Mei-Ling Chen,ux designer,Design
Kofi Asante,UX Researcher,Research
Asha Patel,Content Strategist,Marketing
Leon Fischer,UX Designer,Product
Yuki Tanaka,UX Researcher,RESEARCH
Dana Rivers,Product Manager,product
Fabian Müller,UX Designer,Design
Nadia Okonkwo,ux researcher,Research
Sam Torres,Content Strategist,Marketing
